"hour","count","avg_response_time","avg_dist_to_seg","avg_response_to_dist_ratio"
"0","661","403.0271132376395","3.7431274657949727","107.67122330739112"
"1","631","423.0238500851789","3.6953603886625976","114.47431524757917"
"2","638","447.84602917341977","3.778233790810532","118.53317025078664"
"3","582","432.2536496350365","4.029446882839729","107.27369343814459"
"4","469","416.38137472283813","3.3544287388752054","124.12884790107587"
"5","659","406.78343949044586","3.463554060833292","117.44682841548556"
"6","931","404.27659574468083","3.3443887305931046","120.88205896836195"
"7","1190","390.1402278702892","3.401522727242076","114.69575809261501"
"8","1163","395.6030330062444","3.4374118666987163","115.08746939486794"
"9","1105","388.8916116870877","3.3175795611533494","117.22148768962464"
"10","1231","369.7466216216216","3.412460439849987","108.35191444384212"
"11","1403","388.7903703703704","3.1629427600310964","122.92045726636799"
"12","1609","371.9065300896287","3.4559620474754458","107.61302496400492"
"13","1613","360.31935483870967","3.5937019784588493","100.26411677944196"
"14","1670","369.0743073047859","3.3886135910343858","108.91602048734177"
"15","1984","375.8127637130802","3.4656756327737335","108.43852787581872"
"16","2081","381.3605236656596","3.5280765646022703","108.0930406930246"
"17","2303","395.8197701149425","3.5040504295669734","112.96063743119629"
"18","1874","382.4417693169093","3.39152380793513","112.76399370162531"
"19","1554","359.05710401087697","3.6183379425496636","99.23260616112248"
"20","1307","368.3397435897436","3.5555369037660425","103.59609633065439"
"21","1197","380.4735013032146","3.266796723011731","116.46684307692331"
"22","1032","389.10766045548655","3.7528051914190845","103.6844815033816"
"23","878","393.0719424460432","3.8952080369031146","100.91166857381899"
